Nome Popular,Nome Científico,Dados Botânicos,Dados da Medicina Tradicional,Povos que costumavam usar
Capim-santo,Cymbopogon citratus,"Erva perene com colmo, formando touceira robusta. Folhas lineares, ásperas.","Chá das folhas usado contra dores, problemas estomacais, febre, sedativo.","Piratapuya, Kanindé, Anacé e etc."
Cana-de-açúcar,Saccharum officinarum,"Planta herbácea com colmo carnoso. Folhas lineares, ásperas.",Suco do colmo para lactação e insônia; infusão das folhas como diurético,"Uso difundido, não específico de uma tribo."
Cana-do-brejo,Costus spiralis,"Erva de rizoma ramificado, folhas espiraladas.",Infusão das folhas como diurético e para hipertensão,"Uso difundido na região da Amazônia, Mata Atlântica e Cerrado."
Babosa,Aloe vera,Planta suculenta com folhas lanceoladas e espinhos.,Suco das folhas como anti-inflamatório e cicatrizante; uso interno para úlceras,Os Pataxós.
Alho,Allium sativum,Erva com bulbo composto por dentes. Folhas lineares.,Uso tópico para dor de dente; decocção para cólicas menstruais e gripe,"Introduzido após as chegadas dos europeus, mas é usada pelos povos Tukano, Sateré-Mawé e outros povos da região do Rio Negro."
Chapéu-de-couro,Echinodorus grandiflorus,Erva de brejo com folhas grandes e ovadas.,Infusão das folhas para problemas renais e hepáticos; analgésico,Tapebas e Xukuru do Ororubá.
Palmito,Euterpe edulis,Palmeira esbelta com estipe reto.,Suco do caule contra dores de barriga e hemorragias; antídoto para picada de cobra,"Yanomami, Parakanã e etc."
Graviola,Annona muricata,Árvore de até 10 m com fruto grande e espinhoso.,Suco do fruto como antitérmico; infusão das folhas para insônia e diabetes,Diversos povos na região Norte e Nordeste do Brasil.
Araticum,Annona tenuiflora,Árvore de até 9 m com folhas ovado-oblongas.,Infusão das folhas para dores de cabeça e hipotensão,"Tribos não especificadas em fontes, mas utilizadas por tribos da região do cerrado."
Breu branco,Xylopia cf. frutescens,Arvoreta aromática com folhas oblongas.,Infusão das folhas como analgésico e anti-inflamatório,Os Pataxós.
Ucuuba,Virola surinamensis,Árvore de até 35 m com casca grossa.,Infusão das folhas contra inflamações e febres; látex para doenças venéreas,"Uso diversificado, não específico de uma tribo."
Urubu-caá,Aristolochia trilobata,Trepadeira com folhas trilobadas.,Decocto das folhas para cólicas abdominais; banho para dores,"Uso diversificado, não específico de uma tribo."
Milomem,Aristolochia sp,Trepadeira com folhas trilobadas.,"Decocção das folhas para náuseas, vômitos, dores de barriga","Uso difundido, não específico de uma tribo."
Óleo elétrico,Piper cavalcantei,Arbusto com folhas assimétricas.,Decocção das folhas como antitérmico e analgésico,"Uso difundido na região amazônica, mas não específico de uma tribo."
Pariparoba,Piper cernuum,Arbusto com inflorescências pendentes.,Infusão das folhas como analgésico e para distúrbios hepáticos,"Uso difundido, não específico de uma tribo."
Jaborandi,Piper gaudichaudianum,Arbusto com folhas membranáceas.,Folhas frescas para dor de dente; raízes mastigadas para inflamações,"Uso difundido, não específico de uma tribo."
Caapeba,Pothomorphe umbellata,Arbusto com folhas cordadas.,Uso externo para dores musculares; interno para distúrbios hepáticos,"Uso difundido, não específico de uma tribo."
Abuta,Abuta grandifolia,Cipó lenhoso com folhas alternas.,Casca do tronco como cicatrizante e anti-inflamatório,"Uso Difundido nas comunidades da Amazônia, não específico de uma tribo."
Capim-cheiroso,Andropogon nardus,"Erva com colmo ereto até 1,5 m, folhas invaginadas.",Decocção das folhas como repelente e antitérmico,"Tribos da região da Caatinga, Ceará e interior de São Paulo."
Banana-da-selva,Heliconia sp,"Espécie com até 4 m de altura, folhas longo-pecioladas.",Infusão da raiz como diurético,"Uso difundido, não específico de uma tribo."
Banana,Musa sp,"Planta com pseudocaule ereto, folhas longas.",Macerado dos bulbos contra tosse e asma,"Yanomami, Paiter Suruí, Arara, Tupinambá de Olivença e Nambikwara."
Ipê,Handroanthus sp,"Árvore de madeira dura, flores vistosas.","Casca usada contra infecções, inflamações","Kayapó, Tapeba, Baniwa."
Jatobá,Hymenaea courbaril,"Árvore grande, casca rugosa, frutos com resina.","Casca para problemas respiratórios, energético","Uso difundido, não específico de uma tribo."
Sucupira,Bowdichia virgilioides,"Árvore de casca amarga, sementes duras.","Sementes e casca para reumatismo, artrite",Uso difundido na região da Caatinga e Cerrado.
Aroeira,Schinus terebinthifolius,"Arbusto ou árvore pequena, frutos vermelhos.",Chá da casca para infecções urinárias,Pankaruru.
Cipó-cravo,Tynanthus panurensis,"Trepadeira aromática, flores tubulares.","Chá para gripe, resfriado, problemas digestivos",Povo Tenharim.
Catuaba,Trichilia catigua,"Arbusto ou árvore pequena, casca amarga.","Chá da casca como estimulante sexual, energético","Uso difundido, não específico de uma tribo."
Jurubeba,Solanum paniculatum,"Arbusto espinhoso, frutos amarelos.",Chá das folhas e frutos para problemas hepáticos,"Uso difundido, não específico de uma tribo."
Carqueja,Baccharis trimera,"Arbusto ramificado, caules alados.","Chá para problemas digestivos, hepáticos, diabetes","Uso difundido, não específico de uma tribo."
Guaco,Mikania glomerata,"Trepadeira volúvel, folhas cordiformes.","Xarope para problemas respiratórios, expectorante","Uso difundido, não específico de uma tribo."
Espinheira-santa,Maytenus ilicifolia,"Arbusto com espinhos, folhas coriáceas.","Chá das folhas para úlceras, gastrite",Guarani.
Pata-de-vaca,Bauhinia forficata,"Árvore pequena, folhas bilobadas.","Chá das folhas para diabetes, diurético","Uso difundido, não específico de uma tribo."
Quebra-pedra,Phyllanthus niruri,"Erva rasteira, folhas pequenas.","Chá para cálculos renais, hepatite","Uso difundido, não específico de uma tribo."
Hortelã,Mentha sp,"Erva aromática, folhas serrilhadas.","Chá para problemas digestivos, calmante suave",Sateré-Maué e os Xukuru do Ororubá.
Erva-doce,Pimpinella anisum,"Erva aromática, frutos aromáticos.","Chá para problemas digestivos, gases","Uso difundido, não específico de uma tribo."
Malva,Malva sylvestris,"Erva com folhas lobadas, flores róseas.","Chá para inflamações, problemas respiratórios",Xipaya e Kuruaya.
Sabugueiro,Sambucus nigra,Arbusto com cachos de flores brancas.,"Chá de flores para gripes, resfriados","Uso difundido principalmente pela população brasileira, mas também tem registros de usos por tribos nativas."
Plantago,Plantago major,Erva rasteira com folhas basais.,"Chá para problemas respiratórios, cicatrização",Kaingang.
Unha-de-gato,Uncaria tomentosa,Trepadeira com espinhos em forma de gancho.,"Chá da casca para inflamações, imunidade",Uso difundido nas tribos da região amazônica.
Maracujá,Passiflora edulis,Trepadeira com frutos comestíveis.,Chá das folhas como calmante,"Guarani, Tupinamba, povos diversos da Amazônia."
Mulungu,Erythrina mulungu,Árvore com flores vermelhas.,"Chá da casca como calmante, ansiolítico","Uso difundido, não específico de uma tribo."
Garra-do-diabo,Harpagophytum procumbens,Erva com frutos com ganchos.,"Extrato para dores articulares, anti-inflamatório","Não é amplamente utilizada pelos povos indígenas, mas sim pelos povos nativos africanos."
Alecrim,Rosmarinus officinalis,"Arbusto aromático, folhas lineares.","Chá para memória, digestão","Uso introduzido pelos europeus, mas o uso é comum entre os Pankararu, Chucuru, Mbyá Guarani entre outros povos."
Hortelã-pimenta,Mentha piperita,"Erva aromática, folhas serrilhadas.","Chá para problemas digestivos, dores de cabeça",Guarani e os Yanomami.
Erva-cidreira,Cymbopogon citratus,Erva perene formando touceiras.,"Chá como calmante, digestivo, antitérmico","Uso difundido, não específico de um povo."
Erva-mate,Ilex paraguariensis,"Arbusto ou árvore pequena, folhas coriáceas.","Chá como estimulante, diurético",Guarani e os Kaingang.
Guaraná,Paullinia cupana,Trepadeira com frutos vermelhos.,"Sementes como estimulante, energético",Sateré-Mawé.
Cacau,Theobroma cacao,Árvore com frutos alongados.,"Sementes para energia, antioxidante","Diversos povos, como os Yanomami, Asurini e etc."
Cupuaçu,Theobroma grandiflorum,Árvore com frutos grandes.,Polpa e sementes com uso alimentar e medicinal,"Uso difundido, não específico de uma tribo,Povos do Oiapoque."
Açaí,Euterpe oleracea,Palmeira com cachos de frutos roxos.,"Frutos como energético, antioxidante.","Karipuna, Palikur, TIkuna e etc."
Buriti,Mauritia flexuosa,Palmeira de grandes folhas palmadas.,Frutos e óleo com uso medicinal e alimentar,"Macuxi, Xavante e Warao."
Bacaba,Oenocarpus bacaba,Palmeira com cachos de frutos roxos.,"Frutos como energético, óleo medicinal","Uso difundido, não específico de uma tribo."
Piquiá,Caryocar villosum,Árvore com frutos espinhosos.,Polpa dos frutos com uso alimentar e medicinal,"Uso difundido, não específico de uma tribo."
Castanha-do-pará,Bertholletia excelsa,Árvore grande com ouriços.,"Castanhas como nutritivo, fonte de selênio","Wai Wai, Zoró, povos do Xingu e etc."
Andiroba,Carapa guianensis,Árvore com sementes oleaginosas.,"Óleo para inflamações, repelente.","Uso difundido, não específico de uma tribo."
Copaíba,Copaifera langsdorffii,Árvore resinosa de grande porte.,"Óleo para inflamações, cicatrização","Apurinã, Arara, Gavião e Tupinambás."
Cumaru,Dipteryx odorata,Árvore com sementes aromáticas.,"Sementes como aromatizante, medicinal.","Povo Kayapó, povo Zo'é, Povo Manchineri e etc."
Pau-rosa,Aniba rosaeodora,Árvore aromática de madeira valiosa.,"Óleo essencial para perfumaria, medicinal.",Sateré-Mawé.
Cipó-alho,Mansoa alliacea,Trepadeira com odor de alho.,"Chá para pressão alta, reumatismo.","Uso difundido, não específico de uma tribo."
Cipó-mil-homens,Aristolochia sp,Trepadeira com folhas cordiformes.,"Uso para problemas digestivos, hepáticos",Chukuru e outras etnias do Nordeste e da Amazônia.
Cipó-cruzeiro,Bignonia sp,Trepadeira com flores vistosas.,Uso popular para inflamações,"Povo Kaxinuá, Guarani, Kaiowá e etc."
Cipó-timbó,Serjania sp,Trepadeira com propriedades medicinais.,"Uso como diurético, anti-inflamatório","Kayapó, Ingarikó e Tapirapé."
